year,month,day,hour,temp,humidity,height_sun,DRH,GRH,beam,GRT,DRT,LRI,LRV,LRO,GRR,radiation_balance,extraterrestrial_radiation,azimuth,global_luminance,diffuse_luminance,globa_radiance_1_axis,globa_radiance_2_axis,direct_radiation,UVA,UVB,photosynthetically,sunshine_duration,PV_prod,sky_temp
 2005, 1, 1, 1,26.0,27, 0.0,0,0,0,0,0,327,395,434,0,-106,0,-23.2,0,0,0,0,0,0,0,0,0,0,2.5
 2005, 1, 1, 2,25.3,28, 0.0,0,0,0,0,0,325,390,427,0,-102,0,-55.4,0,0,0,0,0,0,0,0,0,0,2.1
 2005, 1, 1, 3,24.6,28, 0.0,0,0,0,0,0,322,387,424,0,-102,0,-65.4,0,0,0,0,0,0,0,0,0,0,1.3
 2005, 1, 1, 4,24.2,31, 0.0,0,0,0,0,0,325,388,423,0,-98,0,-68.5,0,0,0,0,0,0,0,0,0,0,2.0
 2005, 1, 1, 5,23.7,31, 0.0,0,0,0,0,0,324,384,418,0,-94,0,-69.3,0,0,0,0,0,0,0,0,0,0,1.7
 2005, 1, 1, 6,23.4,32, 0.0,0,0,0,0,0,324,384,417,0,-94,0,-68.3,0,0,0,0,0,0,0,0,0,0,1.7
 2005, 1, 1, 7,23.6,30,0.9,7,7,0,7,7,320,392,436,1,-111,26,-66.2,830,829,-1,7,0,299,3,3,17,6,0.9
 2005, 1, 1, 8,25.5,27,14.2,119,170,209,170,119,324,405,458,34,2,346,-62.4,17807,14474,398,339,51,7531,145,74,30,135,1.8
 2005, 1, 1, 9,27.8,24,26.9,193,375,403,375,193,323,419,486,75,137,640,-56.6,40323,23254,657,583,182,17378,535,161,45,286,1.5
 2005, 1, 1, 10,30.0,18,38.7,238,574,538,574,238,314,426,508,115,265,882,-48.2,61398,33123,856,751,336,27447,1130,247,54,418,-0.4
 2005, 1, 1, 11,32.1,17,48.5,262,728,622,728,262,318,440,532,146,368,1058,-34.6,79186,37135,951,815,466,35628,1755,313,58,510,0.6
 2005, 1, 1, 12,33.8,14,54.9,272,815,663,815,272,314,447,548,163,418,1154,-15.0,86358,33643,997,833,542,40410,2181,351,59,557,-0.3
 2005, 1, 1, 13,35.2,13,55.6,274,825,668,825,274,317,452,556,165,420,1165,9.2,87520,33761,1002,833,551,40976,2233,355,59,558,0.3
 2005, 1, 1, 14,36.0,12,50.5,266,757,637,757,266,317,452,556,151,367,1089,30.4,82509,37532,967,824,492,37233,1890,326,58,516,0.3
 2005, 1, 1, 15,36.3,12,41.3,246,619,566,619,246,320,452,551,124,264,932,45.4,66479,34260,889,776,374,29814,1293,266,56,432,0.9
 2005, 1, 1, 16,35.8,12,29.9,207,429,446,429,207,321,444,535,86,130,704,55.1,45067,28283,739,653,223,20055,671,184,49,310,1.2
 2005, 1, 1, 17,34.5,14,17.4,141,221,267,221,141,327,438,517,44,-13,421,61.3,23207,16972,477,412,80,9925,220,95,35,166,2.5
 2005, 1, 1, 18,32.9,14,4.2,20,20,0,20,20,330,428,495,4,-149,53,65.3,2317,2317,7,20,0,1017,12,10,11,16,3.2
 2005, 1, 1, 19,31.7,18, 0.0,0,0,0,0,0,339,422,475,0,-136,0,68.1,0,0,0,0,0,0,0,0,0,0,4.8
 2005, 1, 1, 20,30.5,20, 0.0,0,0,0,0,0,337,417,466,0,-129,0,69.3,0,0,0,0,0,0,0,0,0,0,4.6
 2005, 1, 1, 21,29.3,22, 0.0,0,0,0,0,0,338,413,458,0,-121,0,69.1,0,0,0,0,0,0,0,0,0,0,4.6
